2022-01-01 02:15:33.688 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 72880 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:15:33.690 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:15:34.215 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-01 02:15:34.217 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:15:34.231 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2022-01-01 02:15:34.719 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:15:34.727 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:15:34.728 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:15:34.728 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:15:34.783 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:15:34.783 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1060 ms
2022-01-01 02:15:35.522 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:15:35.534 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:15:35.654 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 2.369 seconds (JVM running for 5.373)
2022-01-01 02:18:14.221 [http-nio-10086-exec-6] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-01 02:18:14.222 [http-nio-10086-exec-6] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-01 02:18:14.225 [http-nio-10086-exec-6] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2022-01-01 02:20:44.828 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 72942 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:20:44.830 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:20:45.310 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-01 02:20:45.311 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:20:45.325 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2022-01-01 02:20:45.810 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:20:45.817 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:20:45.817 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:20:45.818 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:20:45.876 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:20:45.876 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1013 ms
2022-01-01 02:20:46.631 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:20:46.641 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:20:46.740 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 2.27 seconds (JVM running for 3.829)
2022-01-01 02:20:51.428 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-01 02:20:51.429 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-01 02:20:51.430 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-01-01 02:20:54.664 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Starting...
2022-01-01 02:20:55.264 [http-nio-10086-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Start completed.
2022-01-01 02:22:58.825 [http-nio-10086-exec-8] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:22:58.827 [http-nio-10086-exec-8] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2022-01-01 02:23:20.694 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown initiated...
2022-01-01 02:23:20.698 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown completed.
2022-01-01 02:23:23.495 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 72974 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:23:23.496 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:23:23.995 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-01 02:23:23.997 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:23:24.011 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2022-01-01 02:23:24.513 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:23:24.520 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:23:24.521 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:23:24.521 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:23:24.583 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:23:24.583 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1052 ms
2022-01-01 02:23:25.271 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:23:25.281 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:23:25.377 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 2.231 seconds (JVM running for 3.886)
2022-01-01 02:23:29.181 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-01 02:23:29.181 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-01 02:23:29.182 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-01-01 02:23:29.207 [http-nio-10086-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Starting...
2022-01-01 02:23:29.656 [http-nio-10086-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Start completed.
2022-01-01 02:31:01.036 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown initiated...
2022-01-01 02:31:01.039 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - DataHikarCP - Shutdown completed.
2022-01-01 02:31:04.537 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Starting SmartCampusApplication using Java 1.8.0_282 on gongxiwus-Macbook-Pro.local with PID 73070 (/usr/local/Code/smart-campus/target/classes started by gongxiwu in /usr/local/Code/smart-campus)
2022-01-01 02:31:04.539 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - No active profile set, falling back to default profiles: default
2022-01-01 02:31:04.895 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-01-01 02:31:04.896 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-01-01 02:31:04.906 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2022-01-01 02:31:05.136 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 10086 (http)
2022-01-01 02:31:05.140 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2022-01-01 02:31:05.141 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-01 02:31:05.141 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-01 02:31:05.174 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring embedded WebApplicationContext
2022-01-01 02:31:05.174 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 616 ms
2022-01-01 02:31:05.691 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2022-01-01 02:31:05.700 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10086 (http) with context path '/smart-campus'
2022-01-01 02:31:05.763 [main] INFO  com.codesniper.smartcampus.SmartCampusApplication - Started SmartCampusApplication in 1.453 seconds (JVM running for 1.748)
2022-01-01 02:31:12.953 [http-nio-10086-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smart-campus] - Initializing Spring DispatcherServlet 'dispatcherServlet'
